No.,Symbol,Company Name,Market Cap
1,NVDA,NVIDIA Corporation,3620873300000
2,AAPL,Apple Inc.,3430304073000
3,MSFT,Microsoft Corporation,3174322016000
4,AMZN,"Amazon.com, Inc.",2234437500000
5,GOOG,Alphabet Inc.,2154118602196
6,GOOGL,Alphabet Inc.,2158363642706
7,META,"Meta Platforms, Inc.",1456830561599
8,TSLA,"Tesla, Inc.",1028099719458
9,AVGO,Broadcom Inc.,800794293900
10,COST,Costco Wholesale Corporation,411017596100
11,NFLX,"Netflix, Inc.",357949054620
12,ASML,ASML Holding N.V.,278542877244
13,TMUS,"T-Mobile US, Inc.",277020567900
14,ADBE,Adobe Inc.,233301598000
15,CSCO,"Cisco Systems, Inc.",231408391100
16,PEP,"PepsiCo, Inc.",228038457900
17,AMD,"Advanced Micro Devices, Inc.",226674100800
18,LIN,Linde plc,217061385880
19,AZN,AstraZeneca PLC,203910959000
20,INTU,Intuit Inc.,196210005840
21,ISRG,"Intuitive Surgical, Inc.",193081074110
22,TXN,Texas Instruments Incorporated,187847282286
23,QCOM,QUALCOMM Incorporated,181494959800
24,CMCSA,Comcast Corporation,165528541500
25,BKNG,Booking Holdings Inc.,164499369626
26,AMGN,Amgen Inc.,159878440190
27,PDD,PDD Holdings Inc.,153903559554
28,AMAT,"Applied Materials, Inc.",153297923800
29,HON,Honeywell International Inc.,150389126160
30,ARM,Arm Holdings plc,147468924251
31,PANW,"Palo Alto Networks, Inc.",130258988040
32,SNY,Sanofi,125283784600
33,VRTX,Vertex Pharmaceuticals Incorporated,126657912780
34,ADP,"Automatic Data Processing, Inc.",123176288385
35,GILD,"Gilead Sciences, Inc.",114974826500
36,SBUX,Starbucks Corporation,112889384000
37,MU,"Micron Technology, Inc.",109964833200
38,INTC,Intel Corporation,109334550000
39,ADI,"Analog Devices, Inc.",105754498479
40,LRCX,Lam Research Corporation,96813019900
41,APP,AppLovin Corporation,96487948876
42,MELI,"MercadoLibre, Inc.",95118461880
43,MDLZ,"Mondelez International, Inc.",87853383000
44,CTAS,Cintas Corporation,87459421140
45,EQIX,"Equinix, Inc.",86690788172
46,KLAC,KLA Corporation,86721288952
47,PYPL,"PayPal Holdings, Inc.",86007906600
48,CRWD,"CrowdStrike Holdings, Inc.",85263720393
49,SNPS,"Synopsys, Inc.",85372516640
50,REGN,"Regeneron Pharmaceuticals, Inc.",84567420720
51,ABNB,"Airbnb, Inc.",86323184512
52,CDNS,"Cadence Design Systems, Inc.",82930274625
53,CME,CME Group Inc.,81157985720
54,MRVL,"Marvell Technology, Inc.",79066736000
55,MAR,"Marriott International, Inc.",78778497105
56,IBKR,"Interactive Brokers Group, Inc.",19401649540
